"NEW TRANSPORT REACTIONS, i.e NOT EXISTING in SCOGEM MODEL, RE-DEFINED GENE ASSOCIATION, RXN FORMULA and RXNID",,,,,,,,
Gene association,Substrate,Transport Rxn formula,Transport Rxn ID,Subtype,Family Name,Transporter Class,TC number,Notes
SCO6990,sodium ion/?(UniProt 90% Identity Bile acid (choline acid):sodium symporter),3 h_e[e] + 2 na1_c[c] + chol_e[e]  -> 3 h_c[c] + 2 na1_e[e] + chol_c[c] ,CHLNAt1,,The Bile Acid:Na+ Symporter (BASS) Family,Secondary Transporter,2.A.28,
SCO2630,"biotin uptake (UniProt, KEGG, biotin ABC transporter)",h2o_c[c] + atp_c[c] + btn_c[c]  -> h_c[c] + adp_c[c] + pi_c[c] + btn_e[e] ,BIOt,,The Biotin Uptake Transporter (BUT) Family,Secondary Transporter,2.A.88,
SCO1710,proton:citrate symporter,h_e[e] + cit_e[e]  -> h_c[c] + cit_c[c] ,CITHt,,The Citrate-Mg2+:H+ (CitM) Citrate-Ca2+:H+ (CitH) Symporter (CitMHS) Family,Secondary Transporter,2.A.11,
SCO3279,potassium/sodium ion:proton antiporter,3 h_e[e] + 2 na1_c[c] +k_c[c] -> 3 h_c[c] + 2 na1_e[e]+k_e[e] ,KtNA,,The Monovalent Cation:Proton Antiporter-2 (CPA2) Family,Secondary Transporter,2.A.37,
SCO6957 and SCO6958 and SCO6959 and SCO6956,multicomponent sodium ion:proton antiporter,4 h_c[c] + nadh_c[c] + mqn9_c[c]  -> nad_c[c] + mql9_c[c] + 3 h_e[e] ,NADHNAt1,MnhE,The Monovalent Cation (K+ or Na+):Proton Antiporter-3 (CPA3) Family,Secondary Transporter,2.A.63,SCO6956 SCO6957 (max score 13.9 total score 41.6 querycover 20% Evalue 7.7 Ident 26%)
SCO1128,drug/metabolite? (UniProt KEGG UDP-N-acetylglucosamine),uacgam_e[e] + pep_c[c] -> uacgam6p_c[c] + pyr_c[c],UACGApts,,The Drug/Metabolite Transporter (DMT) Superfamily,Secondary Transporter,2.A.7,
SCO1359 or SCO1362 or SCO1363 or SCO1588 or SCO1704 ,drug/metabolite (TransporterDB: thiamin pyrophosphate),thmpp_e[e]<=>thmpp_c[c],THMPPt,,The Drug/Metabolite Transporter (DMT) Superfamily,Secondary Transporter,2.A.7,SCO1359 SCO1362 (max score 16.6 total score 55.0 query cover 31% Evalue 5e-04 Ident 35%)
SCO4414 or SCO6581,glycerol-3-phosphate via channel (the later based on similarity of existing tranporter in scoGEM model: glycerol transport via channel),glyc3p_c[c] <=> glyc3p_e[e],GLYCPt,,The Major Facilitator Superfamily (MFS),Secondary Transporter,2.A.1,"Similarity protein BLAST score; SCO4414 SCO6581; max score 49.7, total score 64.3 query cover 70% Evalue 7e-11 Ident 23 %"
SCO4329 and SCO4446 and SCO4451 and SCO4462 and SCO4641 and SCO5401 and SCO5159 ,"multidrug efflux (not classified, UniProt, TCD (MFS_1 motif lactose H+ symport), KEGG)",h_e[e] + lcts_e[e]  -> h_c[c] + lcts_c[c] ,LCTSt,,The Major Facilitator Superfamily (MFS),Secondary Transporter,2.A.1,"MSF_1 motif-TCD: glycerol-3-phosphate antiporter, lactose:H+ symporter EcdB (ABC transporter) OATP (organic anion transporting polypeptides), SCO3915 SCO4329 max score 16.5 total score 45.4 query cover 12% Evalue 1.6 Ident 67%; SCO4329 SCO4451 max score 20.0 total score 85.1 query cover 33% Evalue 0.21 Ident 28%; SCO4329 SCO4462 no significant similarity found; SCO4329 SCO5401; max score 18.1 total score 67.7 query cover 20% Evalue 0.56 Ident 38%"
SCO6384,multidrug efflux (thiamine transport),thm_e[e] + h_e[e] <=> thm_c[c] + h_c[c],THMmfs,,The Major Facilitator Superfamily (MFS),Secondary Transporter,2.A.1,"motifs: DUF2156, tRNA-synt_2_TM, MFS_1, ThiW (thiamin transport) Glucos_trans_II, Acyl_transf_3, DUF1275 DUF2069"
ABC transporters,,,,,,,,
SCO0290  and SCO7165,"sugar(raffinose, melibiose)",h2o_c[c] + atp_c[c] + raffin_e[e]  -> h_c[c] + raffin_c[c] + adp_c[c] + pi_c[c];  h2o_c[c] + atp_c[c] + melib_e[e]  -> h_c[c] + melib_c[c] + adp_c[c] + pi_c[c] ,"RAFFINabc, MELTabc, ",binding protein,ABC,ATP-Dependent,3.A.1,scp0290 is a solute binding protein (ABC transporter) that can uptake raffinose (raffin)/stachyose(stys)/melibiose(melib) (KEGG)
(SCO0374 SCO0700 or SCO2464 or SCO5449 or SCO5450 or SCO5451 or SCO7008 or SCO7689 or SCO7690 SCO0374 or SCO0756 or SCO0818 or SCO1032 or SCO1144 or SCO1148 or SCO1147 or SCO1367 or SCO2674 or SCO3752 or SCO3755 or SCO4666 or SCO4936 or SCO5035 or SCO5453 or SCO5479 or SCO5654 or SCO5870 or SCO6366 or SCO6367 ) or (SCO0374 and SCO2896 and SCO4884) ,"lipid A, lipopolysaccharide transporter(lipopolyprotein)",lproc_e + h2o_c[c] + atp_c[c] -> lproc_c + h_c[c] + adp_c[c] + pi_c[c],LPROCabc,binding,ABC,ATP-Dependent,3.A.1,"UniProt, TransporterDB: www.tcdb.org/search/results.php?tc=3.A.1: lipopolysaccharide exporter"
SCO0636,cobalt,h2o_c[c] + atp_c[c] + cobalt2_e[e]  -> h_c[c] + cobalt2_c[c] + adp_c[c] + pi_c[c] ,Coabc,binding,ABC,ATP-Dependent,3.A.1,
SCO0819 or SCO1031 or SCO3754 or (SCO0819 and SCO6757 and SCO2895),lipoprotein releasing,lproc_c[c]+ h2o_c[c] + atp_c[c] -> lproc_e[e]+ h_c[c] + adp_c[c] + pi_c[c],LPROCrabc,membrane,ABC,ATP-Dependent,3.A.1,
SCO1344 or SCO1655 or SCO6644 or SCO7563 ,"dipeptide/oligopeptide (not identified), glutathione",gthox_e[e] + h2o_c[c] + atp_c[c] -> gthox_c[c] + h_c[c] + adp_c[c] + pi_c[c],GTHOC_abc,binding protein,ABC,ATP-Dependent,3.A.1,
SCO1707,melibiose , h2o_c[c] + atp_c[c] + melib_e[e]  -> h_c[c] + melib_c[c] + adp_c[c] + pi_c[c] ,MELIBabc,binding,ABC,ATP-Dependent,3.A.1,"UniProt, KEGG: maltose/maltodextrin, raffinose/stachyose/melibiose transoirt"
SCO1840 or SCO6047 or SCO2677 or SCO6512 or SCO6742 or SCO5009,heme O,hemeO_e[e] + h2o_c[c] + atp_c[c]->hemeO_c[c] + adp_c[c] + h_c[c] + pi_c[c],HEMabc,binding,ABC,ATP-Dependent,3.A.1,
SCO1922 or SCO1924 or SCO1925 ,(Fe-S assembly/SufBCD system),sufbcd_2fe2s2_e[e] + atp_c[c] + h20_c[c] -> sufbcd_2fe2s2_c[c] + adp_c[c] + h_c[c] + pi_c[c];      sufbcd_4fe4s_e[e] + atp_c[c] + h2o_c[c] ->sufbcd_4fe4s_c[c]+ + adp_c[c]+h_c[c] + pi_c[c],SUFBCDabc,ABC,ABC,ATP-Dependent,3.A.1,
(SCO2324 and SCO2323 and SCO2325 )or (SCO2324 or SCO5958 or SCO5959 or SCO5960 or SCO6720 ),cobalt,cobalt2_e[e] + atp_c[c] + h2o_c[c] -> cobalt2_c[c] + adp_c[c] + h_c[c] +pi_c[c],COBALTabc,binding,ABC,ATP-Dependent,3.A.1,
SCO2463 or SCO2763  or SCO6683 or SCO6684 or SCO6295,actinorhodin exporter,act_c[c] + h2o_c[c] + atp_c[c] -> act_e[e] + adp_c[c] + h_c[c] + pi_c[c],ACTeabc,membrane,ABC,ATP-Dependent,3.A.1,
(SCO5116 or SCO5480 or SCO5766 or SCO7567) and SCO6096 and (SCO1461 or SCO1252),glycine betaine,glyb_e[e]+h2o_c[c]+atp_c[c]->glyb_c[c]+ adp_c[c]+h_c[c] + pi_c[c],GLYCabc,binding,ABC,ATP-Dependent,3.A.1,
SCO6095 or SCO6677,nitrate,no3_e[e] + h2o_c[c] + atp_c[c] -> no3_c[c] + adp_c[c]+ h_c[c] + pi_c[c],NO3abc ,binding,ABC,ATP-Dependent,3.A.1,
SCO7606,leucine,leu__L_e[e] +h2o_c[c] + atp_c[c] -> leu__L_c[c] +adp_c[c] + h_c[c] + pi_c[c],LEUabc,binding,ABC,ATP-Dependent,3.A.1,
SCO4475,heme export,h2o_c[c] + atp_c[c] +heme_c[c]  -> h_c[c] + heme_e[e] + adp_c[c] + pi_c[c],HEMeabc,membrane,ABC,ATP-Dependent,3.A.1,
SCO5598,Serine,ser__L_e[e] + h2o_c[c] + atp_c[c] -> ser__LL_c[c] + adp_c[c] + h_c[c] + pi_c[c],SERabc,,IVSP,ATP-Dependent,3.A.7,
