Source,"NEW TRANSPORT REACTIONS with METABOLITES not involves in METABOLIC REACTIONS, therefore sink reactions for those metabolites will need to be integrated into scoGEM model in addition ",,,,,,,,
,Gene association,Substrate,Transport Rxn formula,Transport Rxn ID,Subtype,Family Name,Transporter Class,TC number,Notes
protein inferd homology (90%): Streptomyces sp. 111WW2,SCO0079,multidrug efflux (UniProt: purine ribonucleoside),prn_e[e] (met not in the scoGEM model) <=> prn_c[c] (not in the scoGEM model),PRNt,PRNt,The Major Facilitator Superfamily (MFS),Secondary Transporter,2.A.1,
"KEGG, protein inferd homology (90%): Streptomyces sp. 19, Streptomyces sp. 2114.2, Streptomyces sp. 2221.1",SCO0295,"multidrug efflux (EmrB/QacA subfamily); UniProt_methylenomycine, H+",memy_e[e]+ h_e[c] <=> h_c[c ]+ memy_c[c],MEMYt,,The Major Facilitator Superfamily (MFS),Secondary Transporter,2.A.1,
KEGG,SCO1812 or SCO7157 or SCO7703,cyanate,cy_e[e] (met not in the scoGEM model) <=> cy_c[c] (met not in the scoGEM model),Cyt,,The Major Facilitator Superfamily (MFS),Secondary Transporter,2.A.1,
"KEGG, TCDB, protein inferd homology (90%) smart blast",(SCO3898 or SCO4337) and (SCO6427 or SCO6430 or SCO7309 or SCO7346 or SCO7369),multidrug efflux (enterobactine -classified in UniProt and KEGG-functionality og MFS_3 motif as tansmembrane secretion effector),entbactin_c[c] (metabolite not in the scoGEM model) <=> entbactin_e[e] (metabolite not in the scoGEM model),ENTBACTINt,,The Major Facilitator Superfamily (MFS),Secondary Transporter,2.A.1,"transmembrane secretion effector  includes MFS_1 and MFS_3 motifs; MFS_3 motif secrets ferric chelator (ligands bound to Fe), enterobactin and a protein involved in anibiotic resistance (UniProt, KEGG database), Similarity score in UniProt-SCO3898 SCO4337; max score 26.9 total score 77.0 query cover 32% Evalue 0.001 Ident 26%)"
"TCDB, protein infered homology (90%):STRA7",SCO6563,oxalate:formate symporter,oxformate_e[e] (not in scoGEM model) + h_e[e] -> oxoformate_c[c] (not in scoGEM model)+ h_c[c],OXOFORMATEt,,The Major Facilitator Superfamily (MFS),Secondary Transporter,2.A.1,
"protein infered homology (100%): Streptomyces sp. 19, Streptomyces sp. 2114.2, Streptomyces sp. 2221.1",SCO0242 or SCO6122,oligopeptide (catechol similarity with s sp. 2114.2 UniProt),catechol(not in scoGEM model)_e[e] <=> catechol_c[c] (not in scoGEM model),CATECHOLopt,,The Oligopeptide Transporter (OPT) Family,Secondary Transporter,2.A.67,SCO2242 SCO6122; max score 222 total score 222 qquery cover 99% Evalue 1e-80 Ident 76%
KEGG,SCO1617 or SCO4795,tellurite,tel_e[e] (not in scoGEM model) <=> tel_c[c] (met not in scoGEM model),TELt,,The Telurite-resistance/Dicarboxylate Transporter (TDT) Family,Secondary Transporter,2.A.16,
"protein homology (90%): Streptomyces sp. 2114.2, Streptomyces sp. 2221.1",SCO4462,fucose,fucose_e[e] + h_e[e] -> fucose_c[c] + h_c[c],FUCOSEt,,,,,
,ABC transporters,,,,,,,,
protein infered homology (90%): Streptomyces lividans TK24,SCO0449,rhamnose (not in SCOGEM model),h2o_c[c] + atp_c[c] + rmn_e[e] (not in scoGEM model)  -> h_c[c] + rmn_c[c](not in scoGEM model) + adp_c[c] + pi_c[c] ,RHMNabc,,binding,ABC,ATP-Dependent,3.A.1
"protein infered homology (90%): e.g. Streptomyces lividans TK24, Streptomyces sp. 111WW2",SCO4359 or SCO0121 or SCO1719  or SCO1928 or SCO2061 or SCO2257 or SCO2305  or SCO3418 or SCO3824 or SCO4397 or SCO4405 or SCO4585 or SCO4963 or SCO5129 or SCO5395 or SCO6360  or SCO3633 or SCO5383,daunorubicin (met not in scoGEM model),drub_e[e] (not in scoGEM model) + h2o_c[c] + atp_c[c] -> drub_c[c] (not in scoGEM model) + h_c[c] + adp_c[c] + pi_c[c],DRUBabc,,binding,ABC,ATP-Dependent,3.A.1
KEGG,SCO1465,sugar(alpha-glucoside),glucs_e[e] (not in scoGEM model) + h2o_c[c] + atp_c[c] -> glucs_c[c] (not in scoGEM model)+ h_c[c] + adp_c[c] + pi_c[c],GLUCSabc,,binding protein,ABC,ATP-Dependent,3.A.1
TCDB,SCO1785 or SCO2422 or SCO6426 or SCO5780,desferrioxamine E (not in scoGEM model),des_e[e] (not in scoGEM model)+ h2o_c[c] + atp_c[c] -> des_c[c] (not in scoGEM model)+ adp_c[c] + h_c[c] + pi_c[c],DESabc,,binding,ABC,ATP-Dependent,3.A.1
"TCDB,  protein infered homology:Streptomycs lividans 1326",SCO1786,"siderophore (ferric enterobactin (catecholate siderophore) in E.coli, desferrioxamine (hydroxamate siderophore)E in S.ceolicolor (not in scoGEM model)",fentero_e[e] (not in scoGEM model) + h2o_c[c] + atp_c[c]->fentero_c[c] (not in scoGEM model) + adp_c[c] + h_c[c] + pi_c[c],FENTEROabc,,membrane,ABC,ATP-Dependent,3.A.1
TCDB,SCO1787,cobalamin/Fe3+-siderophores (no in scoGEM model),h2o_c[c] + atp_c[c] +cobal_e[e] (not in scoGEM model) -> pi_c[c] + cobal_c[c] (not in scoGEM model)+ adp_c[c] + h_c[c] ,COBALabc,,membrane,ABC,ATP-Dependent,3.A.1
KEGG,SCO2258 or SCO2306,multidrug (oleandomycin) (not in scoGEM model),omycin_e[e] (not in scoGEM model) + h2o_c[c] + atp_c[c] -> omycin_c[c] (not in scoGEM model) + adp_c[c] + h_c[c] + pi_c[c],OMYCINabc,,membrane,ABC,ATP-Dependent,3.A.1
KEGG,SCO7028 and SCO7029 and SCO7030,xylobiose (not in scoGEM model),xylb_e[e] + h2o_c[c] + atp_c[c] -> h_c[c] + adp_c[c] + pi_c[c] + xylb_c[c],XYLBabc ,,binding protein,ABC,ATP-Dependent,3.A.1
KEGG,SCO2128,arsenite (ArsA) (not in scoGEM model),aso3_e[e] +h2o_c[c] + atp_c[c] -> aso3_c[c] + adp_c[c] + h_[c] + pi_c[c],ASO3abc,,,ArsAB,ATP-Dependent,3.A.4
