Protein-Name,note about a transporter encoded by the gene,Gene association,Substrate,Subtype,Family,Family Name,Transporter Class,Transport Reaction,TC number
SCO0363,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine)",binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0374,"UniProt, TransporterDB: www.tcdb.org/search/results.php?tc=3.A.1: lipopolysaccharide exporter",,"lipid A, lipopolysaccharide transporter(lipopolyprotein)",binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_e + h2o_c[c] + atp_c[c] -> lproc_c + h_c[c] + adp_c[c] + pi_c[c],3.A.1
SCO0449,,,rhamnose,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + rmn_e[e]  -> h_c[c] + rmn_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0453,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine)",binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0454,"Uniprot: 90% similarity with LAcF in  Streptomyces sp. 111WW2 for uptake of lactose, UniProt and KEGG: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, lactose)",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,"h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] , h2o_c[c] + atp_c[c] + lcts_e[e]  -> h_c[c] + lcts_c[c] + adp_c[c] + pi_c[c] ",3.A.1
SCO0455,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine)",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0473,,,"zinc, ",binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0475,,,manganese/zinc ion,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0476,,,cobalt,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0491,,,lipid A,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0493,,,lipid A,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0494,,,iron-hydroxamate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0495,,,phosphonate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0496,,,ferric enterobactin,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0497,,,cobalamin/Fe3+-siderophores,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0531,"KEGG; UniProt: N,N-diacetylchitobiose transport, UniProt: 90% similarity score with mdxE_1 in Streptomyces sp. 111WW2 with malrodextrin transport",,"sugarN,N-diacetylchitobiose, maltodextrin",binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + chtbs_e[e]  -> h_c[c] + chtbs_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0532,"KEGG; UniProt: N,N-diacetylchitobiose transport,",,"sugar (N,N-diacetylchitobiose transport,)",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + chtbs_e[e]  -> h_c[c] + chtbs_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0533,"KEGG; UniProt: N,N-diacetylchitobiose transport,",,"sugar (N,N-diacetylchitobiose transport,)",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + chtbs_e[e]  -> h_c[c] + chtbs_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0538,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine)",binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0539,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine)",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0540,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine)",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0636,,,cobalt,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + cobalt2_e[e]  -> h_c[c] + cobalt2_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0660,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine)",binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0661,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine)",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0662,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine and from Uniprot : 90% similarity score with araQ_13 in Streptomyces sp. 111WW2 L-arabinose transport",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine), L-arabinose",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0700,,,lipid A,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,"h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] , arab__L_e[e] + h2o_c[c ] + atp_c[c] -> h_c[c] + adp_c[c] + arab__L_c[c]",3.A.1
SCO0706,,,urea,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0707,,,branched-chain amino acid,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0708,,,branched-chain amino acid,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0709,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0710,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0742,"UniProt, KEGG: uncaracterized ABC transporter ATP-binding protein",,multidrug,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0755,"UniProt, KEGG: uncaracterized ABC transporter ATP-binding protein",,toxin secretion,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0756,"UniProt, TransporterDB: www.tcdb.org/search/results.php?tc=3.A.1: lipopolysaccharide exporter",,"toxin secretion, lipopolysaccharide exporter",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_e [e]+ h2o_c[c] + atp_c[c] -> lproc_c[c] + h_c[c] + adp_c[c] + pi_c[c],3.A.1
SCO0808,,,rhamnose,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0809,,,sugar (ribose?),membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0810,,,sugar (ribose?),membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0811,,,sugar (ribose?),ABC,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0818,,,lipoprotein,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_e[e] + h2o_c[c] + atp_c[c] -> lproc_c [c]+ h_c[c] + adp_c[c] + pi_c[c],3.A.1
SCO0819,,,lipoprotein releasing,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_e[e]+ h2o_c[c] + atp_c[c] -> lproc_c[c]+ h_c[c] + adp_c[c] + pi_c[c],3.A.1
SCO0824,,,molybdate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,mobd_e[e] + h2o_c[c] + atp_c[c] -> mobd_c [c]+ h_c[c] + adp_c[c] + pi_c[c],3.A.1
SCO0914,"KEGG; UniProt: N,N-diacetylchitobiose transport and UniProt: based on 90% simularity score with malE_4 in Streptomyces sp. 111WW2 , maltose transport",,"sugar(N,N-diacetylchitobiose), maltose",binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,"h2o_c[c] + atp_c[c] + chtbs_e[e]  -> h_c[c] + chtbs_c[c] + adp_c[c] + pi_c[c] , h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ",3.A.1
SCO0950,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin), methionine",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0951,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin), methionine",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0952,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin), methionine",binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO0996,,,cobalamin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0997,,,cobalamin/Fe3+-siderophores,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO0998,,,phosphonate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1031,,,lipoprotein releasing,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_c[c] + h2o_c[c] + atp_c[c] -> lproc_e[e]+ h_c[c] + adp_c[c] + pi_c[c],3.A.1
SCO1032,,,lipoprotein,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_c[c] + h2o_c[c] + atp_c[c] -> lproc_e[e]+ h_c[c] + adp_c[c] + pi_c[c],3.A.1
SCO1056,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin), methionine",binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO1057,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin), methionine",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO1058,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin), methionine",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO1063,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin), methionine",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO1064,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin), methionine",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO1065,"UniProt, KEGG: lactose, L-arabinose ABC AT dependent transporter",,"sugar (lactose, L-arabinose)",binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,"arab__L_e[e] + h2o_c[c ] + atp_c[c] -> h_c[c] + adp_c[c] + arab__L_c[c], lcts_e[e] +  h2o_c[c ] + atp_c[c] -> h_c[c] + adp_c[c] +lcts_c[c]",3.A.1
SCO1144,"UniProt, KEGG, not sepcified",,lipid A,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1147,"UniProt, KEGG, not sepcified",,lipid A,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1148,"UniProt, TransporterDB: www.tcdb.org/search/results.php?tc=3.A.1: lipopolysaccharide exporter",,"multidrug, lipopolysaccharide exporter",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_c[c] + h2o_c[c] + atp_c[c] -> lproc_e[e]+ h_c[c] + adp_c[c] + pi_c[c],3.A.1
SCO1258,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1344,,,dipeptide/oligopeptide,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1367,,,lipoprotein,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_c[c] + h2o_c[c] + atp_c[c] -> lproc_e[e]+ h_c[c] + adp_c[c] + pi_c[c],3.A.1
SCO1465,,,sugar(alpha-glucoside),binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1537,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin), methionine",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO1538,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin), methionine",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO1539,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin), methionine",binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO1557,,,methionine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1558,,,D-methionine,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1559,,,D-methionine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1620,,,glycine betaine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1621,,,glycine betaine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1655,,,dipeptide/oligopeptide,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1707,"UniProt, KEGG: maltose/maltodextrin, raffinose/stachyose/melibiose transoirt",,"polyamine, maltose/maltodextrin, raffinose/stachyose/melibiose ",binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,"h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] , h2o_c[c] + atp_c[c] + raffin_e[e]  -> h_c[c] + raffin_c[c] + adp_c[c] + pi_c[c] ; h2o_c[c] + atp_c[c] + stys_e[e]  -> h_c[c] + stys_c[c] + adp_c[c] + pi_c[c] ; h2o_c[c] + atp_c[c] + melib_e[e]  -> h_c[c] + melib_c[c] + adp_c[c] + pi_c[c] ",3.A.1
SCO1719,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1720,,,multidrug,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
